id_post,id_campanha,plataforma,tipo_conteudo,descricao,url_midia,data_publicacao,curtidas,comentarios,compartilhamentos,alcance
48,147,Facebook,Carrossel,Post 48: Prato do dia,https://cdn.restaurante.com.br/media/48.jpg,2024-09-22 20:24:00,1083,446,208,12866
217,201,Facebook,Post,Post 217: Prato do dia,https://cdn.restaurante.com.br/media/217.jpg,2024-04-12 14:19:00,4070,245,154,10329
137,37,Facebook,Video,Post 137: Cardápio novo,https://cdn.restaurante.com.br/media/137.jpg,2022-11-16 19:03:00,2209,162,32,
218,21,YouTube,Live,Post 218: Prato do dia,https://cdn.restaurante.com.br/media/218.jpg,2024-01-17 18:10:00,4005,281,167,26531
79,155,tik tok,,,https://cdn.restaurante.com.br/media/79.jpg,2022-07-24 10:59:00,4423,267,198,
199,194,Instagram,Reels,Post 199: Evento,https://cdn.restaurante.com.br/media/199.jpg,2023-09-18 10:17:00,1218,150,1,26026
95,195,Instagram,Live,,,2022-01-05 10:55:00,,336,101,20752
43,3,Instagram,Story,Post 43: Promoção,https://cdn.restaurante.com.br/media/43.jpg,2023-10-01 09:34:00,150,389,127,39747
152,,Twitter/X,Reels,,https://cdn.restaurante.com.br/media/152.jpg,,2728,135,85,49953
39,64,TikTok,Post,,https://cdn.restaurante.com.br/media/39.jpg,2022-12-01 13:14:00,1590,246,,-63
170,94,YouTube,Video,Post 170: Prato do dia,https://cdn.restaurante.com.br/media/170.jpg,2023-12-18 13:18:00,657,132,220,3342
177,198,,Video,Post 177: Prato do dia,https://cdn.restaurante.com.br/media/177.jpg,2024-07-13 15:00:00,2392,177,41,
98,165,Facebook,Post,Post 98: Evento,https://cdn.restaurante.com.br/media/98.jpg,,2082,171,210,46598
85,144,Facebook,Reels,Post 85: Evento,https://cdn.restaurante.com.br/media/85.jpg,2022-07-01 13:35:00,2492,328,83,17353
205,105,YouTube,Reels,Post 205: Evento,https://cdn.restaurante.com.br/media/205.jpg,26-06-2023,4595,222,36,35503
214,131,Twitter/X,Video,Post 214: Prato do dia,https://cdn.restaurante.com.br/media/214.jpg,2022-01-01 12:46:00,4780,210,204,48768
106,173,--,Reels,Post 106: Promoção,https://cdn.restaurante.com.br/media/106.jpg,2023-03-24 13:14:00,269,53,199,7309
